16438.029769198,2525,3001,160908168,868140442,5,0,S,512,38267,0,40,1
16438.04166066,2526,3001,1587595862,1325080738,5,0,S,512,17246,0,40,1
16438.04806369,2527,3001,385087456,1990785241,5,0,S,512,23963,0,40,1
16438.064769209,2528,3001,1317118009,1528586173,5,0,S,512,12892,0,40,1
16438.077905203,2529,3001,1615045754,1539733767,5,0,S,512,612,0,40,1
16438.089605029,2530,3001,1867689522,996986854,5,0,S,512,45846,0,40,1
16438.103161069,2531,3001,871838925,663724918,5,0,S,512,43043,0,40,1
16438.114696947,2532,3001,2083586488,1240941380,5,0,S,512,53447,0,40,1
16438.131248149,2533,3001,1688453529,39915886,5,0,S,512,41439,0,40,1
16438.148163033,2534,3001,2140293247,1116444414,5,0,S,512,14927,0,40,1
16438.160048521,2535,3001,1960799100,1277352583,5,0,S,512,54499,0,40,1
16438.172105418,2536,3001,120895507,717464797,5,0,S,512,19712,0,40,1
16438.184030935,2537,3001,1023598646,1102552253,5,0,S,512,57401,0,40,1
16438.20131277,2538,3001,660438698,272186615,5,0,S,512,59566,0,40,1
16438.212919164,2539,3001,40044799,1887232369,5,0,S,512,32405,0,40,1
16438.229600648,2540,3001,173411423,1607438243,5,0,S,512,54716,0,40,1
16438.241179463,2541,3001,1878203439,331793520,5,0,S,512,30602,0,40,1
16438.252678294,2542,3001,1480068819,267896361,5,0,S,512,40630,0,40,1
16438.265056488,2543,3001,1264625819,1956349890,5,0,S,512,60295,0,40,1
16438.277483067,2544,3001,1925309372,1949159489,5,0,S,512,16627,0,40,1
16438.294803286,2545,3001,1041067477,1762474941,5,0,S,512,35634,0,40,1
16438.303442328,2546,3001,1024966024,1883370448,5,0,S,512,32044,0,40,1
16438.31511289,2547,3001,186461661,759485446,5,0,S,512,41368,0,40,1
16438.327136241,2548,3001,1338742540,1419924144,5,0,S,512,19890,0,40,1
16438.33372518,2549,3001,1872125943,1459968943,5,0,S,512,22937,0,40,1
16438.346238225,2551,3001,572896194,1364100158,5,0,S,512,12389,0,40,1
16438.357678191,2552,3001,11757841,696685329,5,0,S,512,46460,0,40,1
16438.369735293,2553,3001,691560868,1961311148,5,0,S,512,41063,0,40,1
16438.381113995,2554,3001,1411279781,1739136873,5,0,S,512,38144,0,40,1
16438.397844868,2555,3001,1099959461,632720702,5,0,S,512,55979,0,40,1
16438.409840293,2556,3001,2065991724,1657686726,5,0,S,512,10991,0,40,1
16438.426786678,2557,3001,1602005136,1844148387,5,0,S,512,60727,0,40,1
16438.438296794,2558,3001,93087154,1035407279,5,0,S,512,9006,0,40,1
16438.454943857,2559,3001,1003839434,760049575,5,0,S,512,41789,0,40,1
16438.466540701,2560,3001,1654340436,410325393,5,0,S,512,5083,0,40,1
15615.407058459,51004,3001,3575629546,411218823,8,0,A,502,57626,0,52,0
15615.408003337,51004,3001,3575629546,411218823,8,0,PA,502,49591,0,202,0
15615.418912285,51110,3001,4181664074,0,10,0,S,64240,4959,0,60,0
15615.436292647,51018,3001,3367689446,2296253354,8,0,A,502,3830,0,52,0
15615.442952806,51018,3001,3367689446,2296253354,8,0,PA,502,61330,0,202,0
15615.454870411,51124,3001,325602474,0,10,0,S,64240,52679,0,60,0
15615.466663834,51126,3001,2758222493,0,10,0,S,64240,26322,0,60,0
15615.47839048,51140,3001,4292165244,0,10,0,S,64240,61300,0,60,0
15615.484776032,51156,3001,3826155868,0,10,0,S,64240,51273,0,60,0
15615.485776699,51166,3001,3397285422,0,10,0,S,64240,60665,0,60,0
15615.486537545,51172,3001,2642566193,0,10,0,S,64240,13293,0,60,0
15615.492766636,51032,3001,1221504540,2834819475,8,0,A,502,49028,0,52,0
15615.499407961,51032,3001,1221504540,2834819475,8,0,PA,502,40992,0,202,0
15615.500351874,51184,3001,1109568355,0,10,0,S,64240,16395,0,60,0
15615.501164295,51192,3001,2045412037,0,10,0,S,64240,12505,0,60,0
15615.50207899,51204,3001,2119444928,0,10,0,S,64240,34151,0,60,0
