1686225453.638457,192.168.29.136,59705,20008,14154,4016
1686225453.639916,192.168.29.136,59705,20008,14154,4016
1686225453.646745,192.168.29.136,59705,20008,14154,4016
1686225453.675168,192.168.29.136,59705,20008,14154,4016
1686225453.676607,192.168.29.136,59705,20008,14154,4016
1686225453.721100,192.168.29.136,59705,20008,14154,4016
1686225453.739116,192.168.29.136,59705,20008,14154,4016
1686225453.761578,192.168.29.136,59705,20008,14154,4016
1686225453.794327,192.168.29.136,59705,20008,14154,4016
1686225453.806620,192.168.29.136,59705,20008,14154,4016
