2771.394360819,18094,25861,0,192,0
2772.383586852,17838,25861,256,192,0
2773.389430687,17582,25861,512,192,0
2774.390849707,17326,25861,768,192,0
2775.390825981,17070,25861,1024,192,0
2776.392285064,16814,25861,1280,192,0
2777.391817223,16558,25861,1536,192,0
2778.397829748,16302,25861,1792,192,0
2779.398689419,16046,25861,2048,192,0
2781.481943457,28123,27397,0,162,0
2782.487708892,27867,27397,256,162,0
2783.493381885,27611,27397,512,162,0
2784.488659219,27355,27397,768,162,0
2785.484153931,27099,27397,1024,162,0
2786.484372185,26843,27397,1280,162,0
2787.495481663,26587,27397,1536,162,0
2788.491727343,26331,27397,1792,162,0
2789.496135363,26075,27397,2048,162,0
2790.491571872,25819,27397,2304,162,0
2791.486755501,25563,27397,2560,162,0
2792.492130445,25307,27397,2816,162,0
2793.487107314,25051,27397,3072,162,0
2794.498550945,24795,27397,3328,162,0
2795.487739488,24539,27397,3584,162,0
2796.488060986,24283,27397,3840,162,0
2798.580920764,19480,29189,0,179,0
2799.576601622,19224,29189,256,179,0
2800.571120844,18968,29189,512,179,0
2801.582316027,18712,29189,768,179,0
2802.581291841,18456,29189,1024,179,0
2803.572592652,18200,29189,1280,179,0
2804.571870013,17944,29189,1536,179,0
2805.572932725,17688,29189,1792,179,0
2806.584003862,17432,29189,2048,179,0
2807.67960843,24883,30725,0,161,0
2808.685674756,24627,30725,256,161,0
2809.686652121,24371,30725,512,161,0
2810.681507868,24115,30725,768,161,0
2812.76928769,16922,32261,0,121,0
2813.759066825,16666,32261,256,121,0
2814.764896976,16410,32261,512,121,0
2815.766035768,16154,32261,768,121,0
2816.761070941,15898,32261,1024,121,0
2817.766427035,15642,32261,1280,121,0
2818.771901199,15386,32261,1536,121,0
2819.766431951,15130,32261,1792,121,0
2820.762227898,14874,32261,2048,121,0
2821.762095066,14618,32261,2304,121,0
2822.76282089,14362,32261,2560,121,0
2823.763428258,14106,32261,2816,121,0
2824.763757813,13850,32261,3072,121,0
2825.775041853,13594,32261,3328,121,0
2826.863799011,14872,33797,0,179,0
2827.859168372,14616,33797,256,179,0
2832.948560155,51541,35333,0,194,0
2833.954777534,51285,35333,256,194,0
2834.944075433,51029,35333,512,194,0
2835.944289003,50773,35333,768,194,0
2836.944659828,50517,35333,1024,194,0
2837.945003166,50261,35333,1280,194,0
2838.736313343,65251,35589,0,157,0
2838.956114283,50005,35333,1536,194,0
2839.724662508,64995,35589,256,157,0
2839.94606328,49749,35333,1792,194,0
2840.724965277,64739,35589,512,157,0
2840.946520208,49493,35333,2048,194,0
2841.725705697,64483,35589,768,157,0
2841.947035895,49237,35333,2304,194,0
2842.730743062,64227,35589,1024,157,0
2842.947289424,48981,35333,2560,194,0
2843.731856062,63971,35589,1280,157,0
2846.022979262,50519,36869,0,136,0
2847.034012114,50263,36869,256,136,0
2847.821219518,15568,37125,0,226,0
2848.029187652,50007,36869,512,136,0
2848.821083867,15312,37125,256,226,0
2849.024312976,49751,36869,768,136,0
2849.821292015,15056,37125,512,226,0
2850.02484697,49495,36869,1024,136,0
2850.82738281,14800,37125,768,226,0
2851.024971172,49239,36869,1280,136,0
2851.832530395,14544,37125,1024,226,0
2852.036789517,48983,36869,1536,136,0
2852.822769689,14288,37125,1280,226,0
2853.031215141,48727,36869,1792,136,0
2853.83409321,14032,37125,1536,226,0
2854.026176459,48471,36869,2048,136,0
2854.82361216,13776,37125,1792,226,0
2855.105515928,15060,38661,0,110,0
2855.829972713,13520,37125,2048,226,0
2856.10561791,14804,38661,256,110,0
