8620.88949581,37277,3002,19,24378,39,0
8621.917965933,37277,3002,35,16187,55,0
8628.952279856,37277,3002,58,20189,78,0
8635.97490496,37277,3002,39,56959,59,0
8636.001549529,37277,3002,38,30002,58,0
8637.02477073,37277,3002,46,55304,66,0
8641.055091248,37277,3002,21,5906,41,0
8645.080163013,37277,3002,27,2757,47,0
8646.108355171,37277,3002,20,42673,40,0
8648.131827992,37277,3002,57,22691,77,0
8653.163001068,37277,3002,11,57809,31,0
8654.190417137,37277,3002,9,17451,29,0
8659.21081419,37277,3002,57,31433,77,0
8666.238346583,37277,3002,26,24307,46,0
8672.265727426,37277,3002,54,28091,74,0
8679.295120721,37277,3002,51,12761,71,0
8687.320802801,37277,3002,53,52342,73,0
8690.344893126,37277,3002,44,3696,64,0
8699.381116488,37277,3002,22,6189,42,0
8701.398819564,37277,3002,54,25596,74,0
8709.423007663,37277,3002,27,1681,47,0
8715.450826003,37277,3002,41,13587,61,0
8717.512807099,49631,3002,26,26034,46,0
8720.471106105,37277,3002,22,57012,42,0
8722.495163365,37277,3002,46,13252,66,0
8722.541968911,49631,3002,30,49095,50,0
8727.568801406,49631,3002,26,14689,46,0
8729.529150839,37277,3002,56,59283,76,0
8733.559698744,37277,3002,30,37434,50,0
8733.596661531,49631,3002,47,25915,67,0
8735.584113581,37277,3002,26,25305,46,0
8737.607534906,37277,3002,14,33026,34,0
8741.620756129,49631,3002,10,5245,30,0
8746.642658804,37277,3002,18,48425,38,0
8748.65003555,49631,3002,44,36816,64,0
8751.674476584,37277,3002,50,1198,70,0
8751.68633387,49631,3002,50,65293,70,0
8751.694916986,49631,3002,22,56655,42,0
8752.696747131,37277,3002,57,43500,77,0
8753.713599916,37277,3002,41,30608,61,0
8756.725652348,49631,3002,14,30963,34,0
8762.759521001,49631,3002,51,18235,71,0
8763.73885731,37277,3002,57,7990,77,0
8764.783013115,49631,3002,17,50541,37,0
8768.770594941,37277,3002,21,6173,41,0
8769.039946939,56082,3002,43,61804,63,0
8769.05558681,56082,3002,46,50060,66,0
8769.814124759,49631,3002,53,54480,73,0
8770.073172432,56082,3002,12,43994,32,0
8772.800026375,37277,3002,31,8459,51,0
8775.101017119,56082,3002,16,45855,36,0
8776.846379856,49631,3002,20,21876,40,0
8777.820317714,37277,3002,32,58812,52,0
8779.870499227,49631,3002,38,8060,58,0
8781.122903633,56082,3002,50,47752,70,0
8783.84797293,37277,3002,45,26397,65,0
8785.903467175,49631,3002,16,10589,36,0
8786.153889004,56082,3002,39,31016,59,0
8789.183147348,56082,3002,39,53466,59,0
8789.875273702,37277,3002,49,4352,69,0
8790.922543726,49631,3002,18,37076,38,0
8793.95326377,49631,3002,20,10832,40,0
8796.977892639,49631,3002,56,31351,76,0
8797.909391472,37277,3002,25,19240,45,0
8797.924346922,37277,3002,27,9102,47,0
8798.20721165,56082,3002,8,23732,28,0
8798.951983501,37277,3002,17,54722,37,0
8798.977524966,37277,3002,13,25415,33,0
8799.996743585,49631,3002,47,33933,67,0
8802.019410659,49631,3002,55,42777,75,0
8805.048369499,49631,3002,26,58698,46,0
8806.010889712,37277,3002,24,52759,44,0
8806.070142212,49631,3002,34,64823,54,0
8809.04061257,37277,3002,27,52446,47,0
8815.104044047,49631,3002,36,61810,56,0
8819.063076342,37277,3002,44,34666,64,0
8823.087407635,37277,3002,29,60058,49,0
8824.138754307,49631,3002,22,63298,42,0
8826.116459827,37277,3002,48,27747,68,0
8828.170888331,49631,3002,24,6854,44,0
8829.595423371,39333,3002,10,22185,30,0
8830.193867835,49631,3002,41,29211,61,0
8834.145548564,37277,3002,22,18822,42,0
