1686222589.509275,in-event <InotifyEvent: src_path=b'FirewallRules.json', wd=1, mask=IN_OPEN, cookie=0, name=''>
1686222605.299603,192.168.29.136,51977,21,45517,41
1686222605.402355,192.168.29.136,51977,21,45517,41
1686222605.417008,192.168.29.136,51977,21,45517,41
1686222605.479229,192.168.29.136,51977,21,45517,41
1686222605.538614,192.168.29.136,51977,21,45517,41
1686222605.583019,192.168.29.136,51977,21,45517,41
1686222605.610177,192.168.29.136,51977,21,45517,41
1686222605.693852,192.168.29.136,51977,21,45517,41
1686222605.732358,192.168.29.136,51977,21,45517,41
1686222605.753376,192.168.29.136,51977,21,45517,41
1686222605.830012,192.168.29.136,51977,21,45517,41
1686222605.860497,192.168.29.136,51977,21,45517,41
1686222605.903934,192.168.29.136,51977,21,45517,41
1686222605.979997,192.168.29.136,51977,21,45517,41
1686222606.000478,192.168.29.136,51977,21,45517,41
1686222606.047952,192.168.29.136,51977,21,45517,41
1686222606.214804,192.168.29.136,51977,21,45517,41
1686222606.235596,192.168.29.136,51977,21,45517,41
1686222606.316720,192.168.29.136,51977,21,45517,41
1686222606.343231,192.168.29.136,51977,21,45517,41
1686222606.374468,192.168.29.136,51977,21,45517,41
1686222606.444591,192.168.29.136,51977,21,45517,41
1686222606.471289,192.168.29.136,51977,21,45517,41
1686222606.502761,192.168.29.136,51977,21,45517,41
1686222606.550623,192.168.29.136,51977,21,45517,41
1686222606.622331,192.168.29.136,51977,21,45517,41
1686222606.757690,192.168.29.136,51977,21,45517,41
1686222606.779594,192.168.29.136,51977,21,45517,41
1686222606.889686,192.168.29.136,51977,21,45517,41
1686222606.910978,192.168.29.136,51977,21,45517,41
1686222606.943559,192.168.29.136,51977,21,45517,41
1686222606.969288,192.168.29.136,51977,21,45517,41
1686222607.007479,192.168.29.136,51977,21,45517,41
1686222607.093879,192.168.29.136,51977,21,45517,41
1686222607.108402,192.168.29.136,51977,21,45517,41
1686222607.168465,192.168.29.136,51977,21,45517,41
1686222607.183922,192.168.29.136,51977,21,45517,41
1686222607.199115,192.168.29.136,51977,21,45517,41
1686222607.215426,192.168.29.136,51977,21,45517,41
1686222607.303855,192.168.29.136,51977,21,45517,41
1686222607.367651,192.168.29.136,51977,21,45517,41
1686222607.394172,192.168.29.136,51977,21,45517,41
1686222607.410007,192.168.29.136,51977,21,45517,41
1686222607.508931,192.168.29.136,51977,21,45517,41
1686222607.555029,192.168.29.136,51977,21,45517,41
1686222607.570736,192.168.29.136,51977,21,45517,41
1686222607.737543,192.168.29.136,51977,21,45517,41
1686222607.769065,192.168.29.136,51977,21,45517,41
1686222607.811963,192.168.29.136,51977,21,45517,41
1686222607.834420,192.168.29.136,51977,21,45517,41
1686222607.865721,192.168.29.136,51977,21,45517,41
1686222607.929966,192.168.29.136,51977,21,45517,41
1686222608.050656,192.168.29.136,51977,21,45517,41
1686222608.076213,192.168.29.136,51977,21,45517,41
1686222608.150617,192.168.29.136,51977,21,45517,41
1686222608.193321,192.168.29.136,51977,21,45517,41
1686222608.258207,192.168.29.136,51977,21,45517,41
1686222608.286396,192.168.29.136,51977,21,45517,41
1686222608.328974,192.168.29.136,51977,21,45517,41
1686222608.359569,192.168.29.136,51977,21,45517,41
1686222608.375480,192.168.29.136,51977,21,45517,41
1686222608.472696,192.168.29.136,51977,21,45517,41
1686222608.488446,192.168.29.136,51977,21,45517,41
1686222608.503753,192.168.29.136,51977,21,45517,41
1686222608.519542,192.168.29.136,51977,21,45517,41
1686222608.574285,192.168.29.136,51977,21,45517,41
1686222608.590607,192.168.29.136,51977,21,45517,41
1686222608.702629,192.168.29.136,51977,21,45517,41
1686222608.718393,192.168.29.136,51977,21,45517,41
1686222608.781376,192.168.29.136,51977,21,45517,41
1686222608.802167,192.168.29.136,51977,21,45517,41
1686222608.822728,192.168.29.136,51977,21,45517,41
1686222608.836572,192.168.29.136,51977,21,45517,41
1686222608.868563,192.168.29.136,51977,21,45517,41
1686222608.906672,192.168.29.136,51977,21,45517,41
1686222608.931961,192.168.29.136,51977,21,45517,41
1686222608.975576,192.168.29.136,51977,21,45517,41
1686222609.056457,192.168.29.136,51977,21,45517,41
1686222609.072474,192.168.29.136,51977,21,45517,41
1686222609.094463,192.168.29.136,51977,21,45517,41
1686222609.130874,192.168.29.136,51977,21,45517,41
1686222609.172940,192.168.29.136,51977,21,45517,41
1686222609.192481,192.168.29.136,51977,21,45517,41
1686222609.213764,192.168.29.136,51977,21,45517,41
1686222609.240323,192.168.29.136,51977,21,45517,41
1686222609.260910,192.168.29.136,51977,21,45517,41
1686222609.298550,192.168.29.136,51977,21,45517,41
1686222609.372658,192.168.29.136,51977,21,45517,41
1686222609.399366,192.168.29.136,51977,21,45517,41
1686222609.551204,192.168.29.136,51977,21,45517,41
1686222609.626083,192.168.29.136,51977,21,45517,41
1686222609.689463,192.168.29.136,51977,21,45517,41
1686222609.754237,192.168.29.136,51977,21,45517,41
1686222609.819894,192.168.29.136,51977,21,45517,41
1686222609.873742,192.168.29.136,51977,21,45517,41
1686222609.973224,192.168.29.136,51977,21,45517,41
1686222610.036765,192.168.29.136,51977,21,45517,41
1686222610.117281,192.168.29.136,51977,21,45517,41
1686222610.138706,192.168.29.136,51977,21,45517,41
1686222610.182352,192.168.29.136,51977,21,45517,41
1686222610.209549,192.168.29.136,51977,21,45517,41
1686222610.243608,192.168.29.136,51977,21,45517,41
1686222610.275754,192.168.29.136,51977,21,45517,41
1686222610.301466,192.168.29.136,51977,21,45517,41
1686222610.376722,192.168.29.136,51977,21,45517,41
1686222610.392829,192.168.29.136,51977,21,45517,41
1686222610.452478,192.168.29.136,51977,21,45517,41
1686222610.521776,192.168.29.136,51977,21,45517,41
1686222610.708705,192.168.29.136,51977,21,45517,41
1686222610.735103,192.168.29.136,51977,21,45517,41
1686222610.756521,192.168.29.136,51977,21,45517,41
1686222610.871567,192.168.29.136,51977,21,45517,41
1686222611.001565,192.168.29.136,51977,21,45517,41
1686222611.022269,192.168.29.136,51977,21,45517,41
1686222611.065805,192.168.29.136,51977,21,45517,41
1686222611.161127,192.168.29.136,51977,21,45517,41
1686222611.193346,192.168.29.136,51977,21,45517,41
1686222611.220316,192.168.29.136,51977,21,45517,41
1686222611.354506,192.168.29.136,51977,21,45517,41
1686222611.368613,192.168.29.136,51977,21,45517,41
1686222611.411018,192.168.29.136,51977,21,45517,41
1686222611.471301,192.168.29.136,51977,21,45517,41
1686222611.540808,192.168.29.136,51977,21,45517,41
1686222611.556299,192.168.29.136,51977,21,45517,41
1686222611.576771,192.168.29.136,51977,21,45517,41
1686222611.598029,192.168.29.136,51977,21,45517,41
1686222611.618313,192.168.29.136,51977,21,45517,41
1686222611.656111,192.168.29.136,51977,21,45517,41
1686222611.678232,192.168.29.136,51977,21,45517,41
1686222611.726564,192.168.29.136,51977,21,45517,41
1686222611.752819,192.168.29.136,51977,21,45517,41
1686222611.788928,192.168.29.136,51977,21,45517,41
1686222611.821298,192.168.29.136,51977,21,45517,41
1686222611.847508,192.168.29.136,51977,21,45517,41
1686222611.901697,192.168.29.136,51977,21,45517,41
1686222611.916977,192.168.29.136,51977,21,45517,41
1686222611.937338,192.168.29.136,51977,21,45517,41
1686222611.978994,192.168.29.136,51977,21,45517,41
1686222611.999979,192.168.29.136,51977,21,45517,41
1686222612.026443,192.168.29.136,51977,21,45517,41
1686222612.068286,192.168.29.136,51977,21,45517,41
1686222612.188159,192.168.29.136,51977,21,45517,41
1686222612.348390,192.168.29.136,51977,21,45517,41
1686222612.363862,192.168.29.136,51977,21,45517,41
1686222612.390352,192.168.29.136,51977,21,45517,41
1686222612.406602,192.168.29.136,51977,21,45517,41
1686222612.460132,192.168.29.136,51977,21,45517,41
1686222612.475949,192.168.29.136,51977,21,45517,41
1686222612.492053,192.168.29.136,51977,21,45517,41
1686222612.507980,192.168.29.136,51977,21,45517,41
1686222612.550459,192.168.29.136,51977,21,45517,41
1686222612.588217,192.168.29.136,51977,21,45517,41
1686222612.604050,192.168.29.136,51977,21,45517,41
1686222612.630452,192.168.29.136,51977,21,45517,41
1686222612.668544,192.168.29.136,51977,21,45517,41
1686222612.690530,192.168.29.136,51977,21,45517,41
1686222612.782844,192.168.29.136,51977,21,45517,41
1686222612.804879,192.168.29.136,51977,21,45517,41
1686222612.940525,192.168.29.136,51977,21,45517,41
1686222613.042997,192.168.29.136,51977,21,45517,41
1686222613.076079,192.168.29.136,51977,21,45517,41
1686222613.091614,192.168.29.136,51977,21,45517,41
1686222613.112417,192.168.29.136,51977,21,45517,41
1686222613.128482,192.168.29.136,51977,21,45517,41
1686222613.143437,192.168.29.136,51977,21,45517,41
1686222613.159181,192.168.29.136,51977,21,45517,41
1686222613.202047,192.168.29.136,51977,21,45517,41
1686222613.306484,192.168.29.136,51977,21,45517,41
1686222613.322442,192.168.29.136,51977,21,45517,41
1686222613.338130,192.168.29.136,51977,21,45517,41
1686222613.354010,192.168.29.136,51977,21,45517,41
1686222613.381470,192.168.29.136,51977,21,45517,41
1686222613.398173,192.168.29.136,51977,21,45517,41
1686222613.540919,192.168.29.136,51977,21,45517,41
1686222613.572002,192.168.29.136,51977,21,45517,41
1686222613.603427,192.168.29.136,51977,21,45517,41
1686222613.680921,192.168.29.136,51977,21,45517,41
1686222613.706264,192.168.29.136,51977,21,45517,41
1686222613.765963,192.168.29.136,51977,21,45517,41
1686222613.782068,192.168.29.136,51977,21,45517,41
1686222613.819939,192.168.29.136,51977,21,45517,41
1686222613.917913,192.168.29.136,51977,21,45517,41
1686222613.937839,192.168.29.136,51977,21,45517,41
1686222613.953056,192.168.29.136,51977,21,45517,41
1686222614.047444,192.168.29.136,51977,21,45517,41
1686222614.062147,192.168.29.136,51977,21,45517,41
1686222614.099884,192.168.29.136,51977,21,45517,41
1686222614.131481,192.168.29.136,51977,21,45517,41
1686222614.252669,192.168.29.136,51977,21,45517,41
1686222614.305359,192.168.29.136,51977,21,45517,41
1686222614.348844,192.168.29.136,51977,21,45517,41
1686222614.376583,192.168.29.136,51977,21,45517,41
1686222614.419094,192.168.29.136,51977,21,45517,41
1686222614.439757,192.168.29.136,51977,21,45517,41
1686222614.454667,192.168.29.136,51977,21,45517,41
1686222614.491294,192.168.29.136,51977,21,45517,41
1686222614.506142,192.168.29.136,51977,21,45517,41
1686222614.571031,192.168.29.136,51977,21,45517,41
1686222614.680799,192.168.29.136,51977,21,45517,41
1686222614.695121,192.168.29.136,51977,21,45517,41
